Player,MP,3PA,3P%,2PA,2P%,eFG%,FTA,FT%,ORB,DRB,BLK,TOV,PS/G,% FG 3PT,%PTS 2PT MR,%PTS PITP,FGM %UAST,Drive FGA,Drive FG%,Drive PASS,Drive PASS%,SCREEN assists,DEFLECTIONS,LOOSE BALLS recovered,CHARGES drawn,C&S 3PA,C&S 3P%,C&S EFG%,AST PTS created,TOUCHES,TIME OF Pos,ELBOW touches,POST touches,PTS PER Elbow,PTS PER post,AVG SPEED OFF,AVG SPEED DEF
Brandon Jennings,22.2,3.1,0.313,3.5,0.399,0.433,1.9,0.75,0.4,2.1,0,1.6,7.1,12.8,19.8,26.3,68.8,1.6,41.3,1.5,40.8,0,1.9,0.7,0.01,1.1,36.7,55.9,11.5,54.2,4.1,0.2,0.3,0.4,0.214,4.76,3.99
Jonas Jerebko,15.8,1.7,0.346,1.7,0.523,0.521,0.5,0.703,0.8,2.7,0.2,0.5,3.8,8.7,8.7,37.5,25.4,0.6,44.2,0.2,17.6,0.6,0.7,0.3,0.08,1.6,36.3,54.7,2.4,29.4,0.6,0.3,0.7,0.08,0.833,4.69,3.88
Amir Johnson,20.1,0.8,0.409,3.8,0.612,0.612,1.3,0.67,1.5,3.1,0.8,1,6.5,1.5,12.9,70,21.1,0.4,45.7,0.1,9.1,2.4,1.3,0.6,0.06,0.7,42.9,58.1,4.3,30.8,0.7,1.5,2.9,0.103,1.056,4.18,3.76
James Johnson,27.4,3.4,0.34,6.8,0.548,0.535,2.8,0.707,0.9,4.1,1.1,2.3,12.8,8.4,15.6,49.2,54.6,3.1,57.1,1.4,23.8,2,2.2,0.8,0.05,2.6,38.1,56,8.9,57.8,2.4,1.7,0.8,0.333,0.733,4.64,3.74
Joe Johnson,23.6,3.3,0.411,4.7,0.454,0.521,1,0.818,0.4,2.7,0.2,0.9,9.2,15.9,8.8,30.8,57.5,1.5,49.6,0.8,31.7,0.3,0.9,0.5,0,2.6,42.2,62.4,4.5,35.5,1.5,0.9,0.7,0.429,0.453,4.36,3.57
Stanley Johnson,17.8,2,0.292,2.7,0.398,0.415,0.7,0.679,0.5,2,0.3,0.9,4.4,22.4,10.6,27.1,45,0.7,47.2,0.6,37.2,0.1,1.4,0.4,0,1.6,31,43.8,3.2,24.8,0.8,0.3,0.2,0.25,0.158,4.56,4.09
Tyler Johnson,29.8,3.4,0.372,7.9,0.46,0.49,3.5,0.768,0.7,3.3,0.6,1.2,13.7,15.6,19.5,37.1,41.7,2.7,46,1.6,31.4,0.3,2.1,1.1,0.08,3.1,38.9,53.5,7.7,57.2,3.1,1.6,0.9,0.422,0.552,4.61,3.99
Nikola Jokic,27.9,1.9,0.324,9.8,0.628,0.605,3.1,0.825,2.9,6.9,0.8,2.3,16.7,13.8,15.4,59.8,40.1,1.1,52.4,0.2,13.2,3.5,1.8,0.8,0,1.5,35.2,55.9,11.4,68.3,2.2,5.8,4.3,0.277,1.107,4.54,3.64
Terrence Jones,23.5,1.4,0.253,7.7,0.508,0.489,3.1,0.606,1.2,4.5,1,0.9,10.8,8.2,17.6,64.4,32.9,1.8,52.6,0.2,8.3,1.6,1.1,0.6,0,1.1,28.8,42.2,2.6,38.7,1.2,2,2.4,0.434,1.07,4.32,3.75
DeAndre Jordan,31.7,0,0,7.1,0.717,0.714,5.2,0.482,3.7,10.1,1.7,1.4,12.7,0,19.9,80.1,27.7,0.1,42.9,0,9.1,5.5,1.2,0.6,0,0,0,60,2.9,51.3,1,2.4,5.1,0.126,1.265,3.98,3.58
Cory Joseph,25,1.7,0.356,6.6,0.477,0.489,1.5,0.77,0.6,2.3,0.2,1.4,9.3,21.9,12.7,45.9,69.9,2.8,49.3,2.1,36.1,0.3,1.4,0.8,0.05,1.3,39.4,58.8,8.2,53.6,4.2,0.4,0.9,0.323,0.135,4.85,4.22
Frank Kaminsky,26.1,4.7,0.328,6,0.455,0.471,2.1,0.756,0.8,3.7,0.5,1,11.7,6.4,13.5,40.3,23.8,1.5,50.9,0.5,20.2,2.8,1.1,0.6,0.07,4.5,34.3,49.7,5.3,52,1.2,2.1,2.1,0.255,0.937,4.9,3.71
Enes Kanter,21.3,0.5,0.132,9.7,0.568,0.549,4,0.786,2.7,4,0.5,1.7,14.3,8.7,21.7,68.2,49.8,0.3,55,0.1,25.7,1.5,1,0.5,0,0.5,13.9,37.8,2.4,33.9,1.1,1.3,4.1,0.489,0.902,4.37,3.87
Michael Kidd-Gilchrist,29,0.1,0.111,7.5,0.483,0.478,2.4,0.784,1.9,5,1,0.7,9.2,22.1,20.5,57.1,29.2,1.4,43.4,0.5,19.4,0.3,1.7,1,0.1,0.1,14.3,38.2,3.5,35.6,1,0.7,2,0.316,0.885,4.66,4.28
Sean Kilpatrick,25.1,4.4,0.341,6.1,0.468,0.486,3.5,0.843,0.3,3.7,0.1,1.9,13.1,8.5,22.2,35,45.6,2.7,47,1.3,26.2,0.1,1.2,0.6,0.09,3,34.5,50.4,5.8,45,2.4,0.4,0.8,0.571,0.642,4.63,3.85
Brandon Knight,21.1,2.6,0.324,7.1,0.425,0.441,2.9,0.857,0.5,1.7,0.1,1.6,11,19.2,22.2,36,75.6,2.7,45.8,1.2,24,0,0.8,0.6,0.06,1.3,32.8,48.6,5.9,45.7,3,0.4,0.4,0.2,0.429,4.74,4.02
Kyle Korver,26.2,5.4,0.451,2.3,0.494,0.621,0.6,0.905,0.1,2.7,0.3,1,10.1,16.8,5.6,5.9,4.6,0.1,25,0.1,29.4,0.5,1.1,0.6,0.16,4.2,45.4,63.7,3.8,29.5,0.6,0.9,0.8,0.579,0.472,4.56,3.87
Kosta Koufos,20,0,0,5.5,0.552,0.551,0.9,0.613,1.7,4,0.7,0.9,6.6,2.1,8.1,89.8,27.3,0.1,60,0,11.1,1.8,1.1,0.3,0,0,0,34.4,1.5,29.1,0.7,2.7,4.5,0.197,0.814,4.4,4.06
Jeremy Lamb,18.4,2.4,0.281,5.6,0.536,0.502,2.1,0.853,0.5,3.8,0.4,0.6,9.7,20.6,18.2,40.8,57.1,2,56.2,0.7,21.6,0.1,1,0.4,0.03,1.4,32.6,49.1,2.9,28.2,1.5,0.6,0.5,0.811,1.133,4.64,4.07
Ty Lawson,25.1,1.7,0.288,5.9,0.502,0.487,3.1,0.797,0.6,2,0.1,1.9,9.9,22.6,25.4,37,73,2.1,54.8,4.2,56.6,0.2,1.9,1.1,0.01,1.1,28.9,45.3,11.7,60.2,4.7,0.6,0.5,0.154,0.424,4.33,3.84
Courtney Lee,31.9,3.5,0.401,5.6,0.49,0.533,1.3,0.867,0.7,2.7,0.3,0.9,10.8,24.9,10.2,26.1,35.5,1.2,40,0.5,23.6,0.1,2,0.9,0.01,3,40.7,58,5.5,42.7,1.7,1.2,0.5,0.4,0.714,4.39,3.99
David Lee,18.7,0,0,5.3,0.59,0.59,1.4,0.708,1.9,3.7,0.5,1,7.3,10.1,13.9,76,30.2,0.3,39.1,0.1,14.7,1.6,0.8,0.5,0.04,0,0,38.5,3.9,35.7,0.8,2.7,2.6,0.273,1.039,4.41,3.9
Alex Len,20.3,0.2,0.25,5.9,0.503,0.5,2.7,0.721,2,4.6,1.3,1.3,8,9.1,24.5,64.9,36.5,0.1,50,0,0,3.3,0.8,0.5,0,0.1,37.5,35.3,1.4,30.4,0.6,1.9,4.2,0.283,0.833,4.52,3.75
Kawhi Leonard,33.4,5.2,0.38,12.5,0.529,0.541,7.2,0.88,1.1,4.7,0.7,2.1,25.5,23.5,24.8,28.3,52.4,2.6,51,2.5,39.1,0.4,3.4,1.4,0,3.2,42.9,61.4,8.8,57.5,3.4,1.8,1.6,0.485,0.877,4.84,3.88
Meyers Leonard,16.5,2.9,0.347,2.2,0.436,0.484,0.5,0.875,0.4,2.8,0.4,0.5,5.4,17,8.7,19,12.3,0.1,40,0,33.3,2.8,0.7,0.2,0.04,2.5,35.1,49.6,2.4,28,0.6,1.3,1.2,0.162,0.644,4.02,3.57
Jon Leuer,25.9,2.2,0.293,6.4,0.545,0.518,1.5,0.867,1.4,4,0.3,0.9,10.2,21.4,12.8,46.7,22.3,0.6,51.1,0.4,30.1,1.7,0.8,0.6,0.01,2.2,29.5,44.8,3.4,46.7,1.2,1.7,2.3,0.233,1.076,4.8,3.98
Caris LeVert,21.7,3.2,0.321,3.4,0.571,0.528,1.6,0.72,0.4,2.9,0.1,1,8.2,8.1,14.3,39.7,51.5,1.4,55,1.3,39.5,0.1,1.8,0.7,0.04,1.9,34.6,50,5,30.7,1.4,0.3,0.3,0.133,0.765,4.71,3.88
Damian Lillard,35.9,7.7,0.37,12.1,0.492,0.516,7.3,0.895,0.6,4.3,0.3,2.6,27,12.4,24.1,31.8,68.1,5.8,50.9,2.3,23.6,0.2,2.1,1,0.15,2.5,42.9,63.3,14.2,86.5,7.8,0.9,0.7,0.522,0.765,4.66,3.58
Shaun Livingston,17.7,0,0.333,4.1,0.55,0.549,0.8,0.7,0.4,1.6,0.3,0.8,5.1,35,10.8,53.5,48.6,0.3,56,0.2,30.2,0.5,1,0.6,0.01,0,50,51.9,4.2,35,1.9,0.6,1.9,0.378,0.685,4.82,3.77
Brook Lopez,29.6,5.2,0.346,10.5,0.536,0.531,4.9,0.81,1.6,3.8,1.7,2.5,20.5,7.1,19.2,47.6,38,1.6,52,0.2,6.2,2.2,1.1,0.8,0,4.6,34.3,52.9,5.8,51.2,1.6,2.9,3.5,0.43,1.076,4.31,3.67
Robin Lopez,28,0,0,9.5,0.494,0.493,1.3,0.721,3,3.4,1.4,1.1,10.4,29.6,8.9,61.5,31.9,0.2,55,0.1,20.7,2.7,0.5,0.6,0,0,0,45,2.3,33.9,0.8,3.1,4.3,0.271,0.711,4.28,3.75
Kevin Love,31.4,6.5,0.373,8,0.471,0.51,4.9,0.871,2.5,8.6,0.4,2,19,11.4,22.5,28,27.8,0.7,54.8,0.3,18.1,1.1,1.6,1.2,0.12,5.8,39.5,56,4.5,61.7,1.6,2.8,3.4,0.202,0.757,4.25,3.84
Kyle Lowry,37.4,7.8,0.412,7.5,0.518,0.569,6.1,0.819,0.8,4,0.3,2.9,22.4,6.4,22.2,28.3,68.3,4.5,55.1,4.1,39.8,0.8,3.7,1.2,0.25,3.2,41.9,61.7,16.3,85,6.5,0.6,0.8,0.297,0.204,4.32,3.59
Timothe Luwawu-Cabarrot,17.2,2.3,0.311,2.9,0.475,0.471,1.8,0.854,0.4,1.8,0.1,1.1,6.4,0.4,23.6,42.2,23.4,1.4,45.4,0.6,23,0.1,1,0.6,0,2.1,32.4,48.3,2.5,23.6,0.7,0.3,0.8,0.667,0.927,5.31,4.16
Trey Lyles,16.3,2.9,0.319,3.3,0.4,0.436,1.1,0.722,0.7,2.6,0.3,0.9,6.2,9.5,13,33.2,37.1,1.3,41.6,0.5,23.6,0.5,0.7,0.3,0,2.6,33.3,50.5,2.6,33.1,0.9,0.9,0.5,0.098,0.471,4.41,3.88
Shelvin Mack,21.9,2.2,0.308,4.7,0.51,0.495,1.4,0.688,0.4,1.9,0.1,1.6,7.8,14,12.3,47.9,61.2,2.5,52.2,2.2,39.4,0.2,1.6,0.6,0.02,1.2,32.3,48.6,6.9,51.2,3.7,0.3,0.5,0.235,0.577,4.71,4.11
Wesley Matthews,34.2,6.6,0.363,5,0.432,0.496,2.5,0.816,0.2,3.3,0.2,1.4,13.5,12.4,14.8,19.9,42,1.5,39.4,1.5,39.6,0.4,2.6,1,0.19,4.8,37.6,55.4,7.1,49.9,1.9,0.8,0.6,0.283,0.791,4.3,3.78
Luc Mbah a Moute,22.3,1.4,0.391,3.4,0.552,0.562,1.1,0.678,0.6,1.6,0.4,0.6,6.1,15.7,12.2,45.5,15.2,0.8,45.9,0.3,17.5,0.6,1.9,0.7,0.03,1.3,39,54.6,1.1,19.9,0.5,0.5,1.1,0.59,0.955,4.38,3.96
C.J. McCollum,35,5.5,0.421,12.5,0.506,0.544,3.7,0.912,0.8,2.9,0.5,2.2,23,25,14.6,30.2,61.1,4.4,51.1,1.5,21.9,0.3,1.5,1.1,0.04,3.3,42.3,61.6,8.8,64.7,4.6,0.9,0.6,0.693,0.7,5.02,3.84
T.J. McConnell,26.3,0.7,0.2,5.6,0.492,0.472,1.1,0.811,0.5,2.6,0.1,2,6.9,17.6,13.1,63.3,72.5,3,52.7,3.3,47,0.2,3.5,1.3,0.05,0.5,21.6,34.8,16.1,80.7,5.3,0.5,1.1,0.27,0.28,5.36,4.05
Doug McDermott,22.8,3.2,0.37,4.4,0.502,0.524,1.3,0.845,0.3,2.4,0.1,0.6,9,18.2,12,30.7,15.8,0.8,47.1,0.1,7.7,0.2,0.5,0.3,0,2.9,37.6,55.3,2.2,25.7,0.5,0.7,0.8,0.489,1.3,4.91,4.05
Rodney McGruder,25.2,2.8,0.332,3.1,0.488,0.492,0.9,0.62,1.2,2.1,0.2,0.7,6.4,5.6,8.9,41.4,33.2,0.9,37.7,0.7,37.2,0.3,1.3,1,0,2.5,35.4,51.2,3.8,27.1,0.8,0.6,1.2,0.149,0.596,4.83,4.3
Ben McLemore,19.3,2.8,0.382,4.1,0.462,0.507,1.5,0.753,0.3,1.8,0.1,1,8.1,17.4,14.1,29.1,22.8,0.8,40,0.3,22.6,0.2,1.3,0.4,0.05,2.2,37.5,54,2,26.6,0.9,1.1,0.9,0.522,0.855,4.71,4.19
C.J. Miles,23.4,5.4,0.413,3.1,0.471,0.565,1.2,0.903,0.4,2.6,0.3,0.5,10.7,8.6,10.3,18.9,19.9,0.9,39.4,0.2,14,0.2,1.2,0.6,0.12,4.8,42.6,60.2,1.5,26.7,0.6,0.9,0.4,0.357,0.879,4.3,3.71
Patty Mills,21.9,4.4,0.414,3.3,0.474,0.558,1,0.825,0.3,1.5,0,1.3,9.5,16.1,8.7,17.1,30.8,0.6,50,0.9,51.8,0.1,1.4,0.7,0.11,2.8,41.2,60,7.9,51.5,3.2,0.7,0.5,0.169,0.634,5.29,4.06
Paul Millsap,34,3.5,0.311,10.6,0.486,0.481,5.9,0.768,1.6,6.1,0.9,2.3,18.1,15.7,25,41.3,37.4,2.2,35.6,1.1,25.1,2.8,3,1.1,0.07,3.1,31.2,45,8.8,64.9,2.2,5.2,3.2,0.268,0.803,4.4,3.76
Nikola Mirotic,24,5.4,0.342,3.5,0.52,0.516,1.8,0.773,0.9,4.6,0.8,1.1,10.6,7.3,13.3,27.4,17.1,0.7,47.9,0.2,18.3,0.8,1.5,0.7,0.04,4.7,33.7,48.4,2.6,49.7,1,0.6,1.7,0.267,0.784,4.56,3.79
Greg Monroe,22.5,0,0,8.9,0.536,0.533,3,0.741,2.1,4.5,0.5,1.7,11.7,8.6,18.6,72.8,41.9,0.3,34.6,0.1,20,1.6,2.1,0.8,0.22,0,0,46.7,5.4,34.4,1.1,7.6,5.6,0.157,0.857,3.95,3.9
E'Twaun Moore,24.9,2.8,0.37,5.6,0.501,0.519,1,0.77,0.5,1.6,0.4,0.8,9.6,16.3,8.1,42.6,45.2,1.8,50,1.1,33.5,0.1,1.5,0.7,0.01,2.4,37,53.9,5.3,32.1,1.4,1.1,0.7,0.506,0.688,4.66,3.91
Marcus Morris,32.5,4.5,0.331,8.2,0.466,0.477,2.3,0.784,1,3.7,0.3,1.1,14,33.8,13.1,21,47,1.1,52.9,0.2,13,0.6,1.4,0.8,0.08,3.4,37.1,54.6,4.6,48.9,1.3,1.5,0.9,0.5,0.547,4.55,3.79
Markieff Morris,31.2,2.6,0.362,9.1,0.483,0.497,2.8,0.837,1.4,5.1,0.6,1.7,14,19.2,16.9,43.8,33.7,0.9,45.1,0.2,11.7,1.6,2.1,0.8,0.04,2.4,37,49.6,3.9,42.2,1.1,3.1,2.9,0.321,1.045,3.9,3.58
Timofey Mozgov,20.4,0,0,6.1,0.517,0.515,1.4,0.808,1.9,3,0.6,1.3,7.4,20,15.7,64.3,25.4,0.2,60,0,6.7,2.5,0.6,0.3,0.02,0,0,48.8,1.9,29.1,0.8,2.7,3.6,0.385,0.753,4.71,4.05
Emmanuel Mudiay,25.6,3.2,0.315,6.8,0.408,0.428,3,0.784,0.5,2.7,0.2,2.2,11,9,21.7,41.5,48.6,3,41.7,2.3,34,0.2,1.2,0.5,0.02,2.3,35.8,53,8.8,58.7,4.3,0.4,0.7,0.417,0.725,4.92,3.8
Shabazz Muhammad,19.4,1.9,0.338,5.8,0.528,0.523,2.4,0.774,1.1,1.7,0.1,0.7,9.9,8,19,53.9,27.4,1,38.5,0.1,6.9,0.1,0.5,0.5,0,1.8,31.9,46.4,1.1,18.8,0.6,0.2,2,1.167,0.931,4.31,4.22
Jamal Murray,21.5,4.2,0.334,4.7,0.466,0.483,1.5,0.883,0.5,2.1,0.3,1.4,9.9,11.6,13.1,32.8,42.7,1.7,47.9,0.7,22.8,0.1,1.1,0.7,0.06,2.5,36.9,54.7,5,36.4,2.2,0.4,0.5,0.556,0.795,5.03,4.06
Mike Muscala,17.7,1.6,0.418,3.2,0.546,0.573,0.9,0.766,1.1,2.3,0.6,0.8,6.2,15.6,11.3,41.4,11.2,0.1,44.4,0.1,39.1,1.4,0.8,0.3,0.04,1.5,41.7,55.1,3.4,29.2,0.5,1.9,2.4,0.237,0.733,4.92,3.99
Larry Nance,22.9,0.6,0.278,5.2,0.554,0.54,1.3,0.738,1.9,4,0.6,0.9,7.1,17.8,13.1,62.4,23.2,0.1,25,0.1,33.3,2,2.7,0.9,0,0.5,29.4,42.2,3.7,37.1,0.8,3.6,2.6,0.15,0.782,4.76,3.96
Jameer Nelson,27.3,3.6,0.388,4.4,0.489,0.531,0.8,0.714,0.4,2.2,0.1,1.7,9.2,18,6.6,29.1,51.5,1.9,51.1,3.3,58,0.2,1.2,0.8,0.07,1.9,44.8,65.2,12.3,58.1,4.4,0.4,0.5,0.613,0.514,4.37,3.44
Nerlens Noel,20.5,0,0,6,0.597,0.595,2.2,0.694,1.8,3.9,1,1,8.7,8.5,17.3,74.2,25.5,0.2,41.7,0.1,17.4,2.2,2.7,0.9,0.04,0,0,37.7,2.3,30.3,0.7,2.7,3.2,0.204,1.213,4.33,3.83
Lucas Nogueira,19.1,0.2,0.25,2.5,0.694,0.67,1.2,0.657,1.4,2.8,1.6,0.8,4.4,1.6,17.4,77.5,21.4,0.1,66.7,0.1,44.4,3.7,1.6,0.5,0,0.2,27.3,36.1,2,21.1,0.3,1.1,2.3,0.063,1.024,4.36,3.83
Dirk Nowitzki,26.4,3.9,0.378,8.7,0.463,0.495,2.1,0.875,0.4,6.1,0.7,0.9,14.2,41.6,12.7,14.8,16.9,0.1,40,0,0,3.1,1.3,0.4,0,3.5,38.8,53.4,3.9,48,1,3.4,1.1,0.404,0.842,3.71,3.38
Jusuf Nurkic,21.4,0,0,8.2,0.508,0.507,3.2,0.571,2.4,4.8,1.1,2.2,10.2,5.4,18.1,76.4,39.5,0.3,52.9,0.1,18.2,2.9,1.9,0.5,0,0,0,35.4,4.4,44.3,1.2,2.7,4.2,0.37,0.773,4.44,3.77
Kyle O'Quinn,15.6,0.2,0.118,5,0.538,0.523,1.1,0.771,2,3.6,1.3,1,6.3,23,12.9,62.9,33.5,0.2,33.3,0.1,29.2,1.4,0.8,0.6,0.01,0.2,15.4,41.8,3.3,30.1,0.8,2.9,2,0.204,0.89,4.25,3.79
Victor Oladipo,33.2,5.3,0.361,8.7,0.491,0.51,2.3,0.753,0.6,3.8,0.3,1.8,15.9,16.1,10.9,37.3,43.2,2.4,41.1,0.8,20.8,0.2,2.3,1.3,0.12,4.4,37.1,54.1,6.1,46.7,2.3,1.7,1.1,0.321,1.014,4.5,3.92
Kelly Olynyk,20.5,2.6,0.354,4.2,0.608,0.579,1.6,0.732,1,3.8,0.4,1.3,9,7.4,13.3,49.3,21.9,0.8,57.1,0.5,30.1,1.5,1.3,0.6,0.19,2.3,37.8,53.2,4.8,42.8,1,1.1,2.4,0.213,1.05,4.53,3.8
Kelly Oubre,20.3,2.4,0.287,3.2,0.52,0.482,1.3,0.758,0.8,2.5,0.2,0.6,6.3,10.4,15,42.3,32.8,0.8,38.1,0.1,11.2,0.2,2.5,0.8,0.08,2.1,29.1,43.9,1.5,22.5,0.6,0.4,0.7,0.5,0.737,4.32,4.03
Zaza Pachulia,18.1,0,0,4.4,0.538,0.534,1.8,0.778,2,3.9,0.5,1.2,6.1,8.5,23,68.5,19.5,0.2,58.3,0,10,3.5,1.8,0.8,0,0,0,39.5,4.5,30.6,0.7,3,3.4,0.198,0.788,4.53,3.81
Jabari Parker,33.9,3.5,0.365,12.5,0.525,0.53,4.3,0.743,1.5,4.6,0.4,1.8,20.1,12.9,15.8,52.3,33.8,3.9,46.5,1.5,23.4,0.6,2,1.2,0,3,36.8,50.7,6.7,64.9,2,2.8,2.3,0.389,0.878,4.69,3.93
