Player,MP,3PA,3P%,2PA,2P%,eFG%,FTA,FT%,ORB,DRB,BLK,TOV,PS/G,% FG 3PT,%PTS 2PT MR,%PTS PITP,FGM %UAST,Drive FGA,Drive FG%,Drive PASS,Drive PASS%,SCREEN assists,DEFLECTIONS,LOOSE BALLS recovered,CHARGES drawn,C&S 3PA,C&S 3P%,C&S EFG%,AST PTS created,TOUCHES,TIME OF Pos,ELBOW touches,POST touches,PTS PER Elbow,PTS PER post,AVG SPEED OFF,AVG SPEED DEF
Tony Parker,25.2,1.1,0.333,7.9,0.484,0.486,1.9,0.726,0.1,1.7,0,1.4,10.1,28.5,13.3,47.3,68.7,3.6,46.8,2.8,38.1,0.1,0.9,0.6,0,1,35,54.7,10.5,60.9,5.2,1.1,0.8,0.29,0.128,4.95,3.9
Patrick Patterson,24.6,3.9,0.372,2,0.458,0.523,0.9,0.717,1,3.6,0.4,0.6,6.8,6.7,9.7,20.2,20.1,0.6,57.1,0.2,18.9,1.9,1.3,0.4,0.09,3.7,37,55,3,37.5,0.6,0.6,0.4,0.051,0.667,4.33,3.68
Chris Paul,31.5,5,0.411,7.9,0.518,0.555,4.3,0.892,0.7,4.3,0.1,2.4,18.1,29.7,21,15.6,78.6,1.7,53.8,2.5,50.2,0.2,3.5,1.5,0.03,1.1,49.3,69.1,21.7,86.2,7.2,1.4,0.6,0.241,0.353,4.28,3.5
Elfrid Payton,29.4,1.8,0.274,9.3,0.509,0.493,2.6,0.692,1.1,3.6,0.5,2.2,12.8,11.3,14,63.3,79.5,4.8,51.3,3.2,34.6,0.3,2.6,1.2,0,1.5,26,38.2,14.9,71.9,5.8,0.5,0.7,0.605,0.561,4.68,4.08
Mason Plumlee,26.5,0.1,0,7.6,0.541,0.536,3.7,0.58,2.1,5.4,1.1,1.7,10.4,5.7,20.7,73.6,28.1,0.6,39.2,0.3,26.7,4.3,1.9,0.7,0.11,0,0,28.3,8.4,47.9,1.6,4.3,4.4,0.224,0.86,4.59,3.81
Otto Porter,32.6,4.3,0.434,5.8,0.576,0.608,1.5,0.832,1.5,5,0.5,0.6,13.4,18.8,9.2,30.7,22.7,0.6,52.2,0.3,23.8,0.6,2.9,1.2,0.05,4,44.4,64.2,3.6,42.4,1,1.5,1.8,0.47,0.7,4.71,4.04
Bobby Portis,15.6,1.5,0.333,4.4,0.541,0.531,0.9,0.661,1.2,3.5,0.2,0.6,6.8,23.8,8.9,45.3,29.5,0.4,50,0,3.2,0.9,0.6,0.4,0,1.4,35.6,49,1.3,31.6,0.6,0.6,1.4,0.105,0.879,4.71,4.06
Kristaps Porzingis,32.8,4.8,0.357,10.2,0.493,0.507,3.8,0.786,1.7,5.5,2,1.8,18.1,19.7,16.6,35.6,25.3,1.1,42.3,0.2,12.7,2.1,1.5,0.9,0,4.4,37.2,52.5,3.7,60.5,1.5,4,3.3,0.423,1.047,4.4,3.7
Dwight Powell,17.3,1,0.284,3.9,0.571,0.542,1.8,0.759,1.2,2.8,0.5,0.4,6.7,10.5,20.7,56.6,14.4,0.4,46.7,0.1,14.3,2,1.5,0.4,0.03,0.9,30,38.1,1.6,26.5,0.6,1.5,2.1,0.345,1.102,4.54,4
Norman Powell,18,2.3,0.324,4.4,0.514,0.504,2.1,0.792,0.3,1.9,0.2,0.9,8.4,6.6,19.8,47.2,56.8,2.4,52,0.9,22.1,0.1,1.4,0.7,0,1.9,34.3,50,2.6,24.2,1.1,0.2,0.4,0.143,0.767,4.68,4.02
Julius Randle,28.8,0.9,0.27,9.6,0.507,0.499,3.8,0.723,2,6.6,0.5,2.3,13.2,7.6,20.9,66.3,49.1,2.5,45.7,0.7,18,3,1.3,1,0,0.7,29.6,44.8,9.1,57.5,2.2,3.3,2.5,0.299,0.852,4.46,3.6
Zach Randolph,24.5,1.3,0.223,11.9,0.474,0.46,2.6,0.731,2.5,5.7,0.1,1.4,14.1,22.2,13.7,58,49.7,0.8,35.7,0,4.7,1.9,1.4,0.8,0.01,1.1,22.2,37.9,4.2,46.4,1.5,4.7,3.8,0.219,0.928,3.94,3.82
J.J. Redick,28.2,6,0.429,5.4,0.462,0.558,2.6,0.891,0.1,2.1,0.2,1.3,15,22.3,15.3,10.9,11.4,0.9,45.8,0.4,22,0.4,1.4,0.6,0.08,4.3,44.9,61.6,3.3,36.4,1,1.1,0.3,0.463,0.095,4.9,3.99
Josh Richardson,30.5,4.3,0.33,5.4,0.444,0.467,1.5,0.779,0.7,2.5,0.7,1.2,10.2,20.4,11.1,26.7,43.1,1.9,42.2,1.7,40.6,0.3,2.5,1,0,3.7,33.8,46.7,6.3,50.7,2.9,0.6,0.6,0.364,0.387,4.51,3.9
Austin Rivers,27.8,4,0.371,5.8,0.491,0.518,2.6,0.691,0.3,1.9,0.1,1.6,12,4.5,14.8,43.2,62.2,3.9,49.5,1.2,19.6,0.1,1.5,0.7,0.03,2.4,40.2,59.6,6.8,50.1,3.3,0.6,0.6,0.152,0.465,4.36,3.89
Andre Roberson,30.1,2.3,0.245,3.5,0.609,0.513,1.4,0.423,1.2,3.9,1,0.6,6.6,0.8,9,64.4,19.1,0.6,39.1,0.2,19.5,0.3,2.5,0.8,0,2.2,24.7,36.2,2.5,33.4,0.7,0.6,2.1,0.159,0.79,4.67,4.16
Glenn Robinson,20.7,1.8,0.392,3.1,0.512,0.54,1.1,0.711,0.8,2.7,0.3,0.5,6.1,20.5,12.9,31.5,25.3,0.3,47.8,0.3,33.3,0.1,1,0.5,0.01,1.7,40.9,58.5,1.7,22.9,0.6,0.4,0.8,0.375,0.875,4.68,4.16
Sergio Rodriguez,22.3,3.7,0.365,4.2,0.415,0.478,0.4,0.667,0.3,2,0.1,1.9,7.8,17.4,3.4,27.2,64.3,1.7,47.9,2.1,49.3,0.2,1.3,0.7,0.01,1.4,38.9,56.9,12,64.7,4.7,0.4,0.3,0.167,0.286,5.61,3.93
Rajon Rondo,26.7,1.9,0.376,6.2,0.418,0.453,0.7,0.6,1.1,4.1,0.2,2.4,7.8,16,5.6,50.6,59.8,3,46.9,2.9,43.4,0.3,2.9,1.1,0.07,1.5,41,56.4,15.3,72.4,4.9,0.7,0.8,0.16,0.143,4.37,3.87
Derrick Rose,32.5,0.9,0.217,14.3,0.487,0.477,4,0.874,1,2.8,0.3,2.3,18,21.7,19.2,55.8,77,5.9,51.2,2.4,24.1,0.4,1.4,1.2,0.06,0.6,20.5,32.1,10.8,78.8,5.8,0.7,0.8,0.409,0.833,4.49,3.79
Terrence Ross,25.1,5,0.363,4.6,0.518,0.532,1,0.831,0.2,2.4,0.4,0.9,11,19.8,7.5,23.1,33.7,1,47.3,0.4,25.2,0.1,2.2,0.6,0,3.9,36.5,52.8,2.7,28.2,0.9,0.8,0.1,0.525,1.455,4.7,3.88
Terry Rozier,17.1,2.4,0.318,3.1,0.405,0.437,0.9,0.773,0.5,2.5,0.1,0.6,5.5,13.7,12.4,32.2,49,1.1,36.1,0.8,36.5,0.2,1.1,0.6,0,1.6,36.7,54.6,4.2,37.6,2.5,0.4,0.3,0.429,0.714,4.82,4.11
Ricky Rubio,32.9,2.6,0.306,6.1,0.443,0.448,3.8,0.891,0.9,3.2,0.1,2.6,11.1,28.7,30.4,19.4,57.5,1.6,43.6,3.4,55.8,0.3,3.8,1.2,0.12,2.2,32.5,47.3,20.6,83.6,7.5,0.5,0.5,0.342,0.235,4.52,3.94
D'Angelo Russell,28.7,6.1,0.352,7.7,0.447,0.483,3,0.782,0.5,3,0.3,2.8,15.6,16.5,14.9,27.4,59.5,2.4,46,0.7,18.2,0.3,2.6,0.9,0.02,3,37,55.6,11.7,70.9,4.8,0.5,0.8,0.788,0.667,4.79,3.87
Domantas Sabonis,20.1,2,0.321,4,0.438,0.452,0.8,0.657,0.6,3,0.4,1,5.9,13.8,9.2,45.1,27.6,0.8,41.3,0.4,28.8,1.1,0.9,0.6,0,1.9,32.5,45.6,2.5,33.2,0.7,1,1.3,0.321,0.667,4.77,3.71
Dario Saric,26.3,4.2,0.311,7.2,0.469,0.468,2.7,0.782,1.4,5,0.4,2.3,12.8,10,16.5,42.9,37.3,2.1,51.5,1.5,31.1,1,1.1,0.9,0.01,3.6,31.9,45.3,5.5,60.3,1.7,3.2,1.9,0.25,0.825,4.82,3.97
Dennis Schroder,31.5,3.7,0.34,11.6,0.487,0.493,3.2,0.855,0.5,2.6,0.2,3.3,17.9,19.2,15.4,44.1,70.6,6.8,50.4,3.5,28.5,0.3,1.6,1.2,0.16,1.9,39.1,58.9,15,81.1,6.7,0.5,0.5,0.205,0.459,4.74,3.83
Thabo Sefolosha,25.7,1.9,0.342,4.4,0.484,0.492,1.2,0.733,0.9,3.5,0.5,0.9,7.2,14.4,12.4,45.5,28.2,1,49.2,0.9,39.3,0.5,2.8,0.9,0.02,1.7,34.6,47.3,4.2,38.1,1.3,1.2,1.4,0.25,0.828,4.66,3.94
Iman Shumpert,25.5,3.4,0.36,3,0.469,0.507,1.2,0.789,0.5,2.4,0.4,1,7.5,19.4,12.5,18.3,40.3,0.9,51.4,0.5,26.5,0.4,1.9,0.5,0,2.8,35.2,51.1,3.5,27.6,1.2,0.3,0.4,0,0.074,4.29,4.01
Pascal Siakam,15.6,0.1,0.143,3.6,0.515,0.505,0.6,0.688,1.2,2.2,0.8,0.6,4.2,17.5,9.6,71.6,33,0.3,57.1,0,10,0.8,1.3,0.4,0,0.1,14.3,35.7,0.6,20.7,0.4,0.8,1.5,0.273,0.639,4.78,4.21
Jonathon Simmons,17.8,1.3,0.294,4.1,0.461,0.456,1.7,0.75,0.3,1.8,0.3,1,6.2,13.3,20.5,47.6,40.7,1.7,45.7,1,28.7,0.2,1.1,0.4,0.1,1,31.3,44.6,4.2,26.9,1.3,0.4,0.5,0.464,0.514,4.62,3.86
Marcus Smart,30.4,4.2,0.283,5.3,0.42,0.422,3.2,0.812,1,2.9,0.4,2,10.6,7.9,24.3,34,41.3,1.6,32.3,1.2,35.7,0.3,3,0.9,0.29,3.1,31.2,45.8,11.2,58.1,3.3,0.8,2.1,0.143,0.565,4.25,3.66
Ish Smith,24.1,1.3,0.267,8,0.467,0.458,1.3,0.706,0.3,2.6,0.4,1.4,9.4,30.6,9.5,48.8,83,3.2,46.5,2.8,41.8,0.3,1.5,0.9,0.1,0.8,33.3,51.4,12.5,63.5,5.3,0.1,0.2,0,0.25,5.27,3.81
Tony Snell,29.2,4.4,0.406,2.3,0.548,0.588,0.7,0.81,0.3,2.8,0.2,0.7,8.5,8.2,6.9,21.7,14.6,0.6,47.1,0.3,23,0.2,1.7,0.7,0.03,4.1,42.2,61.6,2.9,27.2,0.8,0.4,0.6,0.382,0.932,3.99,3.92
Marreese Speights,15.7,3.4,0.372,3.3,0.52,0.539,1.7,0.876,1.1,3.5,0.5,0.8,8.7,6.8,16.9,32.9,20.1,0.3,50,0,9.3,1.2,0.6,0.3,0.41,3.2,37.6,54.1,2,29.2,0.6,1,1.5,0.266,0.992,4,3.63
Nik Stauskas,27.4,4.5,0.368,3.4,0.433,0.5,1.9,0.813,0.3,2.6,0.4,1.6,9.5,6.1,16.1,25.4,33.9,1.8,42.1,2.1,43,0.2,1.1,0.7,0,2.8,41.2,61,5.7,42.4,1.6,0.5,0.6,0.351,0.72,5.07,3.9
Jeff Teague,32.4,3.1,0.357,8,0.475,0.492,5.1,0.867,0.4,3.6,0.4,2.6,15.3,10.2,28.7,39.6,79.1,4.8,44.5,3.3,34.4,0.5,2.6,1.1,0.16,1.4,37.6,55.3,18.2,77,6.7,0.7,0.3,0.211,0.444,4.19,3.53
Mirza Teletovic,16.2,4.4,0.341,1.6,0.46,0.498,0.6,0.778,0.2,2.2,0.2,0.5,6.4,8,7.8,15.1,10.3,0.5,42.4,0.5,41.5,0.3,0.4,0.3,0.03,3.9,34.9,51.6,1.6,25.5,0.5,0.2,0.4,0.118,0.692,4.6,3.77
Garrett Temple,26.6,3.4,0.373,3.3,0.476,0.519,1.1,0.784,0.5,2.3,0.4,1.2,7.8,12.6,11.5,27.3,30.6,0.5,54.8,0.7,51.2,0.3,2.6,0.7,0.05,2.8,39.3,56.2,5.9,40.9,1.7,0.8,0.8,0.388,0.725,4.51,3.91
Jason Terry,18.4,2.3,0.427,1,0.444,0.582,0.4,0.828,0.2,1.2,0.3,0.5,4.1,4.6,7.8,16.3,17.1,0.3,48,0.5,53.5,0.5,1.2,0.5,0,2,43.5,64.3,3.2,21.8,0.7,0.6,0.3,0.233,0.15,4.56,3.97
Isaiah Thomas,33.8,8.5,0.379,10.9,0.528,0.546,8.5,0.909,0.6,2.1,0.2,2.8,28.9,6.7,26.8,33,56.5,6.5,51.2,3.8,29.8,0.4,1.5,1.1,0.05,3.6,40.4,59,14.5,84.7,6.7,1.2,0.3,0.604,0.65,4.6,3.58
Klay Thompson,34,8.3,0.414,9.3,0.516,0.565,2.8,0.853,0.6,3,0.5,1.6,22.3,19.2,10.7,24,16.5,1.3,47.6,1.1,36,0.5,1.4,1,0,7.1,43.8,62.1,4.8,48.4,1.6,2.3,2.2,0.635,1.083,4.92,3.76
Tristan Thompson,29.9,0,0,5.6,0.604,0.6,2.7,0.498,3.7,5.5,1.1,0.8,8.1,2.2,16.8,81,29,0.3,40,0.1,18.8,4.8,0.9,0.9,0,0,0,10,2.6,39.4,0.8,3,3.5,0.226,1.04,4.5,3.99
Anthony Tolliver,22.7,3.5,0.391,1.9,0.537,0.57,1.3,0.744,0.8,2.9,0.3,0.9,7.1,4.3,13.2,23.9,14.8,0.3,50,0.2,29.2,1.1,1.1,0.5,0.2,3.4,39.7,57.8,2.7,33.6,0.8,3.3,1.1,0.047,0.929,4.6,3.87
Karl-Anthony Towns,37,3.4,0.367,14.7,0.582,0.576,5.2,0.832,3.6,8.7,1.3,2.6,25.1,12,17.3,56,35.8,2,51.2,0.4,13.6,2.9,1.1,1,0,3,39.3,55.7,6.2,71.9,2,4.5,5.7,0.454,0.977,4.25,3.86
P.J. Tucker,27.6,2.4,0.357,3.5,0.451,0.485,1.1,0.774,1.4,4.4,0.2,0.8,6.7,8.1,13.3,39.6,35.7,0.8,32.8,0.3,23.6,0.8,2.7,1.1,0.1,2.2,37.1,55.8,3,38,0.9,0.6,1.3,0.273,0.578,4.17,3.8
Evan Turner,25.5,1.8,0.263,6.7,0.47,0.454,1.6,0.825,0.6,3.2,0.4,1.5,9,28.7,14.5,41,72.8,1.8,50.8,1,30.2,0.3,1.6,0.8,0.02,1.6,24.8,38.6,7.4,45,2.6,0.7,0.6,0.289,0.561,4.57,3.78
Myles Turner,31.4,1.4,0.348,9.3,0.536,0.534,3.7,0.809,1.7,5.6,2.1,1.3,14.5,24.7,20.9,44.2,17.3,0.2,75,0.1,13.2,3.6,1.8,0.6,0.01,1.3,34,46.3,3.3,49.3,1.1,3.8,5.2,0.387,0.993,4.51,3.73
Tyler Ulis,18.4,1.3,0.266,5.9,0.455,0.445,1.2,0.775,0.3,1.2,0.1,1.3,7.3,39.6,12.4,33.8,84.2,1.6,43,1.6,45.3,0,1.5,0.7,0.03,0.5,35.5,51.5,8.7,44.4,3.4,0.3,0.3,0.111,0.1,4.67,4.06
Jonas Valanciunas,25.8,0,0.5,8.8,0.557,0.558,2.7,0.811,2.8,6.7,0.8,1.3,12,14.4,18.4,66.9,38.4,0.2,58.3,0.1,26.1,3.6,0.9,0.7,0.03,0,50,50.8,1.8,46.5,1.2,2.2,4.5,0.313,1.056,4.23,3.84
Denzel Valentine,17.1,3.6,0.351,1.4,0.363,0.481,0.3,0.778,0.2,2.5,0.1,0.9,5.1,6.2,4.8,13.7,20.6,0.4,36,0.3,32.1,0.1,1,0.4,0.02,2.6,37.4,56.4,2.7,20.9,0.8,0.1,0.3,0,0.533,4.67,3.99
Noah Vonleh,17.1,0.3,0.35,3.4,0.492,0.494,1.3,0.638,1.8,3.5,0.4,0.9,4.4,14.1,18.3,61.2,40,0.3,52.4,0.1,27.3,1.7,0.8,0.7,0.01,0.2,37.5,47.4,1.1,24.1,0.5,1.2,1.9,0.264,0.674,4.71,4.05
Nikola Vucevic,28.8,1,0.307,12.7,0.481,0.48,2.1,0.669,2.3,8,1,1.6,14.6,35.6,9.8,48.4,36.4,1,50,0.3,21.1,3.3,1.9,0.7,0,1,30.1,43.2,6.9,65.7,1.7,4.2,4.8,0.407,0.721,4.23,3.7
Dwyane Wade,29.9,2.4,0.31,13.5,0.456,0.457,4.7,0.794,1.1,3.5,0.7,2.3,18.3,27.2,20.3,40.1,63.8,3.5,47.1,1.6,26.3,0.1,2.4,1,0.02,0.9,30.9,49.5,8.9,55.3,3.2,1.5,1.3,0.448,0.684,4.38,3.59
Kemba Walker,34.7,7.6,0.399,10.7,0.476,0.527,4.5,0.847,0.6,3.3,0.3,2.1,23.2,13.3,16.6,30.7,68.3,5.5,48.5,2.7,28.8,0.3,2.2,1.2,0.35,2.7,47.7,70.2,13.5,88.1,8,0.5,0.5,0.351,0.538,4.6,3.58
John Wall,36.4,3.5,0.327,14.9,0.48,0.482,6.8,0.801,0.8,3.4,0.6,4.1,23.1,18.9,23.4,42.9,79.3,5.3,51.8,3.9,32.6,0.1,3.9,1.7,0.06,1.6,36.6,53.1,25.3,88.3,8.9,0.5,0.2,0.282,0.333,4.07,3.42
Taurean Prince,16.6,1.7,0.324,3.1,0.443,0.458,1.6,0.787,0.4,2.2,0.5,1,5.7,9,22.1,39.4,29.8,1.5,37.1,0.7,23.2,0.1,1.4,0.6,0.05,1.4,34.5,52.7,2.2,20.9,0.7,0.3,0.4,0.5,0.87,4.41,3.79
T.J. Warren,31,1.5,0.265,10.8,0.527,0.511,2.3,0.773,1.9,3.2,0.6,0.9,14.4,22.3,12.5,57,43.9,2.1,48.5,0.3,10.7,0.1,2.2,1,0,1.2,27.8,46.4,2.6,40.8,1.3,1.6,1.2,0.53,1.104,4.57,4.11
C.J. Watson,16.3,1.7,0.305,2.3,0.448,0.452,1.1,0.864,0.3,1.2,0,0.8,4.5,22.8,20.3,22.8,45.8,0.4,44,0.5,41,0.1,1.5,0.4,0.06,1.1,22.7,36.4,4.6,26.3,1.4,0.4,0.4,0.36,0.923,4.73,3.86
Russell Westbrook,34.6,7.2,0.343,16.8,0.459,0.476,10.4,0.845,1.7,9,0.4,5.4,31.6,16.9,27.8,31.9,81.2,5,48,3.8,33.4,0,2.9,1.4,0.04,1.7,37.6,51.4,23.8,99.5,8.9,1.9,1.3,0.639,0.291,4.72,3.52
Isaiah Whitehead,22.5,2,0.295,4.9,0.446,0.445,1.5,0.805,0.4,2.1,0.5,1.9,7.4,7.4,16.8,51.6,57.4,2.9,45,1.2,24,0.1,1.5,0.6,0.16,1.1,39.2,56.7,6.5,39.6,2.4,0.2,0.3,0.364,0.476,4.84,3.97
Hassan Whiteside,32.6,0,0,12.6,0.557,0.557,4.6,0.628,3.8,10.3,2.1,2,17,8.7,17.2,74.1,41.5,0.3,47.6,0,3.4,3.2,1.5,0.8,0.01,0,0,35.8,1.7,45.6,1.1,2.6,7.8,0.328,1.002,3.86,3.67
Andrew Wiggins,37.2,3.5,0.356,15.6,0.473,0.484,6.6,0.76,1.2,2.8,0.4,2.3,23.6,23.1,21.3,39.6,53.6,3.9,46.5,1.4,19.3,0.3,1.7,1,0,2.1,40.6,58.1,5.6,51.4,2.7,1.8,2.6,0.571,0.938,4.2,3.64
Deron Williams,25.9,3.7,0.363,5.7,0.486,0.509,1.7,0.826,0.2,2.1,0.1,2.2,11,24,12.8,26.8,63.5,2.1,46.6,1.5,36.5,0.7,1.3,0.6,0.09,2.2,38.6,54.9,13.6,66.2,5.4,0.9,0.6,0.232,0.35,4.38,3.57
Lou Williams,24.6,5.5,0.365,6.8,0.48,0.511,5.6,0.88,0.3,2.2,0.2,2,17.5,7.5,28.3,29.8,61.9,3.4,52,1.3,23.3,0.1,1.7,0.9,0.04,2.4,37.6,55.3,6.5,44,2.6,0.3,0.4,0.5,0.75,4.45,3.6
Marvin Williams,30.2,4.7,0.35,4.6,0.494,0.51,2,0.873,1.2,5.4,0.7,0.8,11.2,7.3,15.4,33.5,17.5,1.2,55.1,0.2,12.2,1.8,1.7,0.6,0.03,4.4,35.6,52.8,3.6,61.4,1,1.6,1.3,0.295,1.01,4.82,3.76
Nick Young,25.9,7,0.404,3.5,0.481,0.564,1.5,0.856,0.4,1.9,0.2,0.6,13.2,13.4,9.7,12.4,22.8,0.6,42.9,0.3,26.9,0.4,1.6,0.5,0.03,4.7,44.2,65.4,2.4,32.3,1.1,0.4,0.3,0.385,0.7,4.29,3.76
Thaddeus Young,30.2,1.6,0.381,7.7,0.557,0.56,1.2,0.523,1.8,4.3,0.4,1.3,11,6.6,5.5,71.3,24,0.8,50,0.2,15.1,1.6,2.9,1.2,0.12,1.5,38.4,49.7,4,50.5,1.2,2.8,4.2,0.214,0.869,4.55,3.96
Cody Zeller,27.8,0,0,7.1,0.572,0.571,3.2,0.679,2.2,4.4,0.9,1,10.3,5.3,20.8,73.9,20.2,0.8,43.1,0.2,18.8,5.9,2,1.1,0.03,0,0,28.3,3.9,30.5,0.7,5.1,3.4,0.317,0.976,4.67,3.85
